"GEOID10","NAME","TOTAL_POPULATION","HISP_LAT_TOTAL","HISP_LAT_NONHISPANIC_LATINO","HISP_LAT_HISPANIC_LATINO","TOTAL_POP_WHITE","MEDIAN_AGE"
"36005026702","Census Tract 267.02, Bronx County, New York",7040,7040,1658,5382,1995,32.2
"36005026900","Census Tract 269, Bronx County, New York",3777,3777,1008,2769,966,36.2
"36005027300","Census Tract 273, Bronx County, New York",7942,7942,2074,5868,2290,37.2
"36005027401","Census Tract 274.01, Bronx County, New York",4785,4785,3949,836,4280,28
"36005027402","Census Tract 274.02, Bronx County, New York",3386,3386,2871,515,3080,41.5
"36005027600","Census Tract 276, Bronx County, New York",473,473,348,125,96,45.5
"36005027700","Census Tract 277, Bronx County, New York",5065,5065,1320,3745,1633,34.7
"36005027900","Census Tract 279, Bronx County, New York",6966,6966,3179,3787,3062,38.3
"36005028100","Census Tract 281, Bronx County, New York",3794,3794,2362,1432,2145,43.4
"36005028300","Census Tract 283, Bronx County, New York",3149,3149,1202,1947,792,34.7
"36005028400","Census Tract 284, Bronx County, New York",894,894,646,248,436,48.4
"36005028500","Census Tract 285, Bronx County, New York",3307,3307,2232,1075,2073,39.5
"36005028600","Census Tract 286, Bronx County, New York",1191,1191,898,293,790,28
"36005028700","Census Tract 287, Bronx County, New York",3178,3178,1390,1788,1324,38
"36005028800","Census Tract 288, Bronx County, New York",3097,3097,2530,567,2384,33.4
"36005028900","Census Tract 289, Bronx County, New York",4502,4502,1655,2847,2055,37.2
"36005029301","Census Tract 293.01, Bronx County, New York",1875,1875,1634,241,1549,66.8
"36005029302","Census Tract 293.02, Bronx County, New York",5052,5052,4347,705,3907,48.9
"36005029500","Census Tract 295, Bronx County, New York",4240,4240,3305,935,3105,37.9
"36005029600","Census Tract 296, Bronx County, New York",2549,2549,2012,537,1193,35.9
"36005029700","Census Tract 297, Bronx County, New York",3554,3554,3076,478,2797,47
"36005030000","Census Tract 300, Bronx County, New York",5838,5838,3379,2459,3859,33.7
"36005030100","Census Tract 301, Bronx County, New York",1304,1304,1116,188,1055,59.9
"36005030200","Census Tract 302, Bronx County, New York",8887,8887,6457,2430,1648,44.6
"36005030701","Census Tract 307.01, Bronx County, New York",5378,5378,4723,655,4646,44.4
"36005030900","Census Tract 309, Bronx County, New York",3891,3891,3581,310,3372,80.6
"36005031000","Census Tract 310, Bronx County, New York",4415,4415,3194,1221,2404,57.7
"36005031200","Census Tract 312, Bronx County, New York",1524,1524,1076,448,911,39.7
"36005031400","Census Tract 314, Bronx County, New York",1966,1966,1378,588,1177,46
"36005031600","Census Tract 316, Bronx County, New York",1863,1863,1344,519,1026,31.7
"36005031800","Census Tract 318, Bronx County, New York",1810,1810,1210,600,984,38.3
"36005031900","Census Tract 319, Bronx County, New York",751,751,607,144,516,20.4
"36005032300","Census Tract 323, Bronx County, New York",4904,4904,3957,947,3748,49.3
"36005032400","Census Tract 324, Bronx County, New York",2957,2957,1458,1499,1164,32.7
"36005032600","Census Tract 326, Bronx County, New York",3154,3154,2258,896,1756,43.3
"36005032800","Census Tract 328, Bronx County, New York",3979,3979,2177,1802,1576,29.7
"36005033000","Census Tract 330, Bronx County, New York",5696,5696,3214,2482,2841,35
"36005033201","Census Tract 332.01, Bronx County, New York",4115,4115,1825,2290,1920,36.7
"36005033202","Census Tract 332.02, Bronx County, New York",4167,4167,1998,2169,1482,41.3
"36005033400","Census Tract 334, Bronx County, New York",1351,1351,595,756,449,30.1
"36005033500","Census Tract 335, Bronx County, New York",2178,2178,1917,261,1841,47.6
"36005033600","Census Tract 336, Bronx County, New York",6188,6188,3022,3166,1326,33.1
"36005033700","Census Tract 337, Bronx County, New York",2357,2357,1983,374,1808,41.5
"36005033800","Census Tract 338, Bronx County, New York",3818,3818,2210,1608,856,31.7
"36005034000","Census Tract 340, Bronx County, New York",4618,4618,2363,2255,1152,33
"36005034200","Census Tract 342, Bronx County, New York",1675,1675,1111,564,290,33.7
"36005034300","Census Tract 343, Bronx County, New York",1649,1649,1091,558,942,54.6
"36005034400","Census Tract 344, Bronx County, New York",1736,1736,1130,606,360,38.9
"36005034500","Census Tract 345, Bronx County, New York",3566,3566,2725,841,2205,46.1
"36005034800","Census Tract 348, Bronx County, New York",6129,6129,3814,2315,1137,34.6
"36005035000","Census Tract 350, Bronx County, New York",1925,1925,1393,532,239,33.7
"36005035100","Census Tract 351, Bronx County, New York",3186,3186,2381,805,2218,36.8
"36005035600","Census Tract 356, Bronx County, New York",2027,2027,1638,389,211,35.2
"36005035800","Census Tract 358, Bronx County, New York",7166,7166,6125,1041,474,38.7
"36005035900","Census Tract 359, Bronx County, New York",2061,2061,569,1492,557,29.1
"36005036000","Census Tract 360, Bronx County, New York",2706,2706,1812,894,803,39.8
"36005036100","Census Tract 361, Bronx County, New York",6019,6019,1703,4316,1702,28.7
"36005036300","Census Tract 363, Bronx County, New York",7509,7509,1876,5633,2113,26.3
"36005036400","Census Tract 364, Bronx County, New York",2557,2557,2282,275,73,38.2
"36005036501","Census Tract 365.01, Bronx County, New York",3965,3965,1851,2114,784,28.4
"36005036502","Census Tract 365.02, Bronx County, New York",2423,2423,749,1674,499,27.5
"36005036700","Census Tract 367, Bronx County, New York",2599,2599,866,1733,575,25
"36005036800","Census Tract 368, Bronx County, New York",2011,2011,1556,455,192,32.3
"36005036901","Census Tract 369.01, Bronx County, New York",2005,2005,554,1451,513,29.2
"36005036902","Census Tract 369.02, Bronx County, New York",2119,2119,871,1248,445,29.3
"36005037000","Census Tract 370, Bronx County, New York",2303,2303,1810,493,263,39.4
"36005037100","Census Tract 371, Bronx County, New York",4241,4241,1564,2677,1061,36.1
"36005037200","Census Tract 372, Bronx County, New York",2222,2222,1467,755,315,35
